wavelength_nm,true,stale,single_pilot,proposed,oracle
1550.3,1.1316914593601569e-06,0.0,0.002896599504585425,0.0,0.0
1550.4,4.177232413165121e-14,0.0,0.0,0.0,0.0
1550.5,1.6402629698874632e-24,0.09685106050998109,0.05284391984694833,0.006725857433818135,0.0
1550.6,6.851766623032236e-38,0.0,0.03368037639334478,0.0075088995428390926,0.009640947635230643
1550.7,3.044779760248517e-54,0.03784514948307764,0.01127545127181978,0.022418062854119833,0.0
1550.8,1.439373313226393e-73,0.0,0.0,0.0,0.0021250702728989935
1550.9,7.238611175912982e-96,0.0,0.0,0.0,0.0017118776266475948
1551.0,3.8725879703109666e-121,0.017293694926999215,0.004808996572340882,0.015347757290678934,0.00021213873363969197
1551.1,2.203999925239046e-149,0.0,0.0,0.017092937880957025,0.0
1551.2,1.3344002023140337e-180,0.0,0.006494200689466115,0.0,0.0
1551.3,8.594584053390537e-215,0.0,0.0,0.0,0.0013626648916527015
1551.4,5.888814412742353e-252,0.0,0.0,0.0,0.001619208430142164
1551.5,4.292349853683531e-292,0.0,0.0,0.012899795521097896,0.001349348050740572
1551.6,0.0,0.08052016258534077,0.0,0.014009617612367124,0.0
1551.7,0.0,0.12497652205432894,0.05342018555136738,0.0,0.010302936890973335
1551.8,0.0,0.0,0.0,0.0,0.0
1551.9,0.0,0.011134593937430071,0.0,0.0,0.0
1552.0,0.0,0.11033838467707814,0.01582215866890685,0.05324062138700132,0.01087913590348837
1552.1,0.0,0.09701986443064037,0.010049316037460912,0.06654278318960903,0.01405516664019918
1552.2,0.0,0.10488813253365736,0.02368551118385394,0.013651284212728165,0.0
1552.3,0.0,0.015588495349070908,0.046801668972673724,0.02219959387251048,0.0
1552.4,0.0,0.0,0.0,0.0,0.0
1552.5,0.0,0.0,0.0,0.0,0.0
1552.6,0.0,0.0,0.0,0.0,0.0
1552.7,0.0,0.0,0.0511783818138322,0.0,0.008311827531534456
1552.8,0.0,0.0,0.0,0.0,0.0034761999285197005
1552.9,0.0,0.11255215685511138,0.08898693054064268,0.0002675213977978363,0.0036393098908857977
1553.0,0.0,0.036870510962841864,0.022701675675886098,0.01024833995021688,0.0
1553.1,0.0,0.14468423887308796,0.0016067170489723719,0.004764484053125209,0.0
1553.2,0.0,0.0,0.021923869301615384,0.016987116141546882,0.0
1553.3,0.0,0.0,0.0,0.0,0.0
1553.4,0.0,0.0,0.08187639112903228,0.0,0.010482914519195556
1553.5,0.0,0.0,0.03263418025150602,0.011073389409201601,0.003605887576030349
1553.6,0.0,0.0,0.0360966906431102,0.0011238118140108925,0.0
1553.7,0.0,0.03434708312094628,0.0028030863770507996,0.008519348153281365,0.0
1553.8,0.0,0.0,0.0,0.0,0.0
1553.9,0.0,0.016942511490300648,0.0,0.02123730643607351,0.0
1554.0,0.0,0.11109917873204601,0.05147013878005108,0.04586067041288467,0.0
